hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0000007	Autosomal recessive inheritance	5832	ALDH18A1	OMIM:616586
HP:0000007	Autosomal recessive inheritance	5832	ALDH18A1	OMIM:219150
HP:0000007	Autosomal recessive inheritance	79029	AFG2B	OMIM:619616
HP:0000007	Autosomal recessive inheritance	79029	AFG2B	OMIM:619615
HP:0000007	Autosomal recessive inheritance	7436	VLDLR	OMIM:224050
HP:0000007	Autosomal recessive inheritance	80201	HKDC1	OMIM:619614
HP:0000007	Autosomal recessive inheritance	5191	PEX7	OMIM:215100
HP:0000007	Autosomal recessive inheritance	5191	PEX7	OMIM:266500
HP:0000007	Autosomal recessive inheritance	5191	PEX7	OMIM:614879
HP:0000007	Autosomal recessive inheritance	200942	KLHDC8B	OMIM:236000
HP:0000007	Autosomal recessive inheritance	1565	CYP2D6	OMIM:608902
HP:0000007	Autosomal recessive inheritance	5297	PI4KA	OMIM:619621
HP:0000007	Autosomal recessive inheritance	5297	PI4KA	OMIM:616531
HP:0000007	Autosomal recessive inheritance	5297	PI4KA	OMIM:619708
HP:0000007	Autosomal recessive inheritance	54756	IL17RD	OMIM:615267
HP:0000007	Autosomal recessive inheritance	51761	ATP8A2	OMIM:615268
HP:0000007	Autosomal recessive inheritance	51702	PADI3	OMIM:191480
HP:0000007	Autosomal recessive inheritance	4247	MGAT2	OMIM:212066
HP:0000007	Autosomal recessive inheritance	5373	PMM2	OMIM:212065
HP:0000007	Autosomal recessive inheritance	5337	PLD1	OMIM:212093
HP:0000007	Autosomal recessive inheritance	5317	PKP1	OMIM:604536
HP:0000007	Autosomal recessive inheritance	167691	LCA5	OMIM:604537
HP:0000007	Autosomal recessive inheritance	2072	ERCC4	OMIM:615272
HP:0000007	Autosomal recessive inheritance	2072	ERCC4	OMIM:610965
HP:0000007	Autosomal recessive inheritance	2072	ERCC4	OMIM:278760
HP:0000007	Autosomal recessive inheritance	30009	TBX21	OMIM:619630
HP:0000007	Autosomal recessive inheritance	30009	TBX21	OMIM:208550
HP:0000007	Autosomal recessive inheritance	55768	NGLY1	OMIM:615273
